Argument,Nodes,Time,Primes
60000,1,78992.17,6057
60000,1,76780.79,6057
60000,1,77411.5,6057
60000,1,75868.73,6057
60000,1,80352.78,6057
60000,1,76765.08,6057
60000,1,76828.23,6057
60000,1,76531.21,6057
60000,1,75968.71,6057
60000,1,74802.96,6057
60000,1,76632.42,6057
60000,1,78589.04,6057
60000,1,77394.33,6057
60000,1,78466.44,6057
60000,1,76284.11,6057
60000,1,77034.24,6057
60000,1,76920.07,6057
60000,1,75270.42,6057
60000,1,77795.95,6057
60000,1,76951.29,6057
60000,1,76642.06,6057
60000,1,75059.54,6057
60000,1,76964.69,6057
60000,1,76715.43,6057
60000,1,74673.91,6057
60000,1,76165.23,6057
60000,1,76546.89,6057
60000,1,76296.18,6057
60000,1,78927.78,6057
60000,1,76433.11,6057
60000,1,74683.91,6057
60000,1,79921.64,6057
60000,1,74902.91,6057
60000,1,78462.32,6057
60000,1,76864.45,6057
60000,1,76894.64,6057
60000,1,78942.37,6057
60000,1,75242.13,6057
60000,1,76674.07,6057
60000,1,76566.6,6057
60000,1,75907.91,6057
60000,1,85482.93,6057
60000,1,74803.79,6057
60000,1,76516.16,6057
60000,1,77623.13,6057
60000,1,90796.23,6057
60000,1,78589.52,6057
60000,1,77076.56,6057
60000,1,75050.12,6057
60000,1,80913.91,6057
60000,2,38720.32,6057
60000,2,38996.36,6057
60000,2,39384.75,6057
60000,2,41040.21,6057
60000,2,39127.52,6057
60000,2,38781.96,6057
60000,2,38527.96,6057
60000,2,38658.56,6057
60000,2,38498.9,6057
60000,2,38768.84,6057
60000,2,38946.43,6057
60000,2,38780.69,6057
60000,2,38337.19,6057
60000,2,39193.01,6057
60000,2,38322.15,6057
60000,2,38309.01,6057
60000,2,40077.56,6057
60000,2,38871.79,6057
60000,2,38676.63,6057
60000,2,41135.46,6057
60000,2,40681.83,6057
60000,2,37956.01,6057
60000,2,39265.13,6057
60000,2,39847.47,6057
60000,2,38688.39,6057
60000,2,40958.39,6057
60000,2,37794.51,6057
60000,2,38369.62,6057
60000,2,41897.6,6057
60000,2,40867.29,6057
60000,2,38896.89,6057
60000,2,38573.64,6057
60000,2,38193.02,6057
60000,2,39699.29,6057
60000,2,37599.15,6057
60000,2,38323.42,6057
60000,2,40246.43,6057
60000,2,38166.48,6057
60000,2,38487.7,6057
60000,2,37853.45,6057
60000,2,38544.47,6057
60000,2,37686.14,6057
60000,2,39342.67,6057
60000,2,38044.01,6057
60000,2,38151.68,6057
60000,2,38071.68,6057
60000,2,38119.42,6057
60000,2,39129.86,6057
60000,2,38971.46,6057
60000,2,39258.8,6057
60000,3,38737.15,6057
60000,3,41712.01,6057
60000,3,38066.31,6057
60000,3,40179.71,6057
60000,3,39543.0,6057
60000,3,38467.29,6057
60000,3,38059.8,6057
60000,3,38413.45,6057
60000,3,39141.26,6057
60000,3,40407.68,6057
60000,3,39670.25,6057
60000,3,39227.52,6057
60000,3,37596.82,6057
60000,3,37940.62,6057
60000,3,37467.32,6057
60000,3,38570.35,6057
60000,3,38494.62,6057
60000,3,40534.76,6057
60000,3,38595.85,6057
60000,3,39287.46,6057
60000,3,38015.97,6057
60000,3,39629.39,6057
60000,3,39938.85,6057
60000,3,39772.33,6057
60000,3,39196.86,6057
60000,3,38014.98,6057
60000,3,38505.08,6057
60000,3,39646.33,6057
60000,3,38270.52,6057
60000,3,42464.51,6057
60000,3,38150.48,6057
60000,3,39039.88,6057
60000,3,38192.45,6057
60000,3,38598.54,6057
60000,3,41360.7,6057
60000,3,38071.94,6057
60000,3,38849.61,6057
60000,3,37753.9,6057
60000,3,38490.91,6057
60000,3,38272.9,6057
60000,3,38478.32,6057
60000,3,37927.16,6057
60000,3,38631.23,6057
60000,3,41127.21,6057
60000,3,39522.01,6057
60000,3,41690.93,6057
60000,3,39430.0,6057
60000,3,38010.33,6057
60000,3,39034.83,6057
60000,3,38832.79,6057
60000,4,19509.6,6057
60000,4,19681.22,6057
60000,4,19751.61,6057
60000,4,20611.58,6057
60000,4,19970.37,6057
60000,4,19335.24,6057
60000,4,19229.45,6057
60000,4,20031.67,6057
60000,4,20112.96,6057
60000,4,19941.56,6057
60000,4,19797.2,6057
60000,4,19830.44,6057
60000,4,19543.41,6057
60000,4,19770.92,6057
60000,4,19587.54,6057
60000,4,19649.97,6057
60000,4,19725.65,6057
60000,4,25680.04,6057
60000,4,25268.88,6057
60000,4,25398.58,6057
60000,4,24745.98,6057
60000,4,25300.87,6057
60000,4,24555.56,6057
60000,4,25010.07,6057
60000,4,24524.14,6057
60000,4,24739.4,6057
60000,4,24701.41,6057
60000,4,25179.38,6057
60000,4,24168.93,6057
60000,4,26509.68,6057
60000,4,26092.3,6057
60000,4,24334.54,6057
60000,4,25835.78,6057
60000,4,26278.25,6057
60000,4,26629.07,6057
60000,4,25017.16,6057
60000,4,25351.6,6057
60000,4,24376.46,6057
60000,4,24672.52,6057
60000,4,25559.75,6057
60000,4,26809.38,6057
60000,4,24944.59,6057
60000,4,24436.57,6057
60000,4,24762.65,6057
60000,4,26680.01,6057
60000,4,25515.6,6057
60000,4,25304.4,6057
60000,4,24349.32,6057
60000,4,25061.59,6057
60000,4,24251.07,6057
